Brand,Name,Codename,Cores,Clock,Socket,Process,L3Cache,TDP,Released
AMD,Athlon 1000,Thunderbird C,1,1000 MHz,Socket A,180 nm,N/A,54 W,"Oct 31st, 2000"
AMD,Athlon 1000,Thunderbird B,1,1000 MHz,Socket A,180 nm,N/A,54 W,"Jun 5th, 2000"
AMD,Athlon 1100,Thunderbird B,1,1100 MHz,Socket A,180 nm,N/A,60 W,"Aug 14th, 2000"
AMD,Athlon 1133,Thunderbird C,1,1133 MHz,Socket A,180 nm,N/A,63 W,"Oct 31st, 2000"
AMD,Athlon 1200,Thunderbird C,1,1200 MHz,Socket A,180 nm,N/A,66 W,"Oct 31st, 2000"
AMD,Athlon 1200,Thunderbird B,1,1200 MHz,Socket A,180 nm,N/A,66 W,"Oct 17th, 2000"
AMD,Athlon 600,Thunderbird,1,600 MHz,Socket A,180 nm,N/A,38 W,"Jun 5th, 2000"
AMD,Athlon 650,Thunderbird,1,650 MHz,Socket A,180 nm,N/A,38 W,"Jun 5th, 2000"
AMD,Athlon 700,Thunderbird,1,700 MHz,Socket A,180 nm,N/A,40 W,"Jun 5th, 2000"
AMD,Athlon 750,Thunderbird,1,750 MHz,Socket A,180 nm,N/A,43 W,"Jun 5th, 2000"
AMD,Athlon 800,Thunderbird,1,800 MHz,Socket A,180 nm,N/A,45 W,"Jun 5th, 2000"
AMD,Athlon 850,Thunderbird,1,850 MHz,Socket A,180 nm,N/A,47 W,"Jun 5th, 2000"
AMD,Athlon 900,Thunderbird,1,900 MHz,Socket A,180 nm,N/A,50 W,"Jun 5th, 2000"
AMD,Athlon 950,Thunderbird,1,950 MHz,Socket A,180 nm,N/A,52 W,"Jun 5th, 2000"
AMD,Athlon 1300,Thunderbird B,1,1300 MHz,Socket A,180 nm,N/A,68 W,"Mar 21st, 2001"
AMD,Athlon 1333,Thunderbird C,1,1333 MHz,Socket A,180 nm,N/A,70 W,"Mar 21st, 2001"
AMD,Athlon 1400,Thunderbird C,1,1400 MHz,Socket A,180 nm,N/A,72 W,"Jun 6th, 2001"
AMD,Athlon 1400,Thunderbird B,1,1400 MHz,Socket A,180 nm,N/A,72 W,"Jun 6th, 2001"
AMD,Athlon 64 3000+,Venice,1,2000 MHz,Socket 754,90 nm,N/A,51 W,"Jan 1st, 2001"
AMD,Athlon 64 3000+,Venice,1,2000 MHz,Socket 754,90 nm,N/A,51 W,"Jan 1st, 2001"
AMD,Athlon 64 3200+,Clawhammer,1,2.2 GHz,Socket 754,130 nm,N/A,89 W,"Jan 1st, 2001"
AMD,Athlon 64 3200+,Venice,1,2.2 GHz,Socket 754,90 nm,N/A,59 W,"Jan 1st, 2001"
AMD,Athlon 64 3400+,Clawhammer,1,2.4 GHz,Socket 754,130 nm,N/A,89 W,"Jan 1st, 2001"
AMD,Athlon 64 3400+,Venice,1,2.2 GHz,Socket 939,90 nm,N/A,67 W,"Jan 1st, 2001"
AMD,Athlon 64 3400+,Venice,1,2.4 GHz,Socket 754,90 nm,N/A,67 W,"Jan 1st, 2001"
AMD,Athlon 64 3500+,San Diego,1,2.2 GHz,Socket 939,90 nm,N/A,67 W,"Jan 1st, 2001"
AMD,Athlon 64 4000+,Toledo,1,2.4 GHz,Socket 939,90 nm,N/A,89 W,"Jan 1st, 2001"
AMD,Athlon 64 X2 3600+,Manchester,2,2000 MHz,Socket 939,90 nm,N/A,89 W,"Jan 1st, 2001"
AMD,Athlon XP 1500+,Palomino,1,1333 MHz,Socket A,180 nm,N/A,60 W,"Oct 9th, 2001"
AMD,Athlon XP 1600+,Palomino,1,1400 MHz,Socket A,180 nm,N/A,63 W,"Oct 9th, 2001"
AMD,Athlon XP 1600+,Thoroughbred,1,1400 MHz,Socket A,130 nm,N/A,49 W,"Jan 1st, 2001"
AMD,Athlon XP 1700+,Palomino,1,1467 MHz,Socket A,180 nm,N/A,64 W,"Oct 9th, 2001"
AMD,Athlon XP 1700+,Thoroughbred,1,1467 MHz,Socket A,130 nm,N/A,50 W,"Jan 1st, 2001"
AMD,Athlon XP 1700+,Thoroughbred,1,1467 MHz,Socket A,130 nm,N/A,50 W,"Jan 1st, 2001"
AMD,Athlon XP 1800+,Palomino,1,1533 MHz,Socket A,180 nm,N/A,66 W,"Oct 9th, 2001"
AMD,Athlon XP 1800+,Thoroughbred,1,1533 MHz,Socket A,130 nm,N/A,51 W,"Jan 1st, 2001"
AMD,Athlon XP 1900+,Thoroughbred,1,1600 MHz,Socket A,130 nm,N/A,53 W,"Jan 1st, 2001"
AMD,Athlon XP 1900+,Palomino,1,1600 MHz,Socket A,180 nm,N/A,68 W,"Nov 5th, 2001"
AMD,Athlon XP 2100+,Thoroughbred,1,1733 MHz,Socket A,130 nm,N/A,62 W,"Jan 1st, 2001"
AMD,Athlon XP 2200+,Thoroughbred,1,1800 MHz,Socket A,130 nm,N/A,63 W,"Jan 1st, 2001"
AMD,Sempron 2200+,Barton,1,1500 MHz,Socket A,130 nm,N/A,62 W,"Jan 1st, 2001"
AMD,Sempron 2300+,Barton,1,1583 MHz,Socket A,130 nm,N/A,62 W,"Jan 1st, 2001"
AMD,Sempron 2400+,Barton,1,1667 MHz,Socket A,130 nm,N/A,62 W,"Jan 1st, 2001"
AMD,Sempron 2500+,Barton,1,1750 MHz,Socket A,130 nm,N/A,62 W,"Jan 1st, 2001"
AMD,Sempron 2600+,Paris,1,1600 MHz,Socket 754,130 nm,N/A,25 W,"Jan 1st, 2001"
AMD,Sempron 2600+,Barton,1,1833 MHz,Socket A,130 nm,N/A,62 W,"Jan 1st, 2001"
AMD,Sempron 2800+,Paris,1,1600 MHz,Socket 754,130 nm,N/A,25 W,"Jan 1st, 2001"
AMD,Sempron 2800+,Barton,1,2000 MHz,Socket A,130 nm,N/A,62 W,"Jan 1st, 2001"
AMD,Sempron 3000+,Paris,1,1800 MHz,Socket 754,130 nm,N/A,25 W,"Jan 1st, 2001"
AMD,Sempron 3100+,Paris,1,1800 MHz,Socket 754,130 nm,N/A,25 W,"Jan 1st, 2001"
AMD,Sempron 3300+,Barton,1,2.2 GHz,Socket A,130 nm,N/A,62 W,"Jan 1st, 2001"
AMD,Athlon XP 1800+,Thoroughbred,1,1533 MHz,Socket A,130 nm,N/A,51 W,"Jun 10th, 2002"
AMD,Athlon XP 2000+,Thoroughbred,1,1667 MHz,Socket A,130 nm,N/A,60 W,"Jun 10th, 2002"
AMD,Athlon XP 2000+,Thoroughbred,1,1667 MHz,Socket A,130 nm,N/A,60 W,"Jun 10th, 2002"
AMD,Athlon XP 2000+,Palomino,1,1667 MHz,Socket A,180 nm,N/A,70 W,"Jan 7th, 2002"
AMD,Athlon XP 2100+,Palomino,1,1733 MHz,Socket A,180 nm,N/A,72 W,"Mar 13th, 2002"
AMD,Athlon XP 2200+,Thoroughbred,1,1800 MHz,Socket A,130 nm,N/A,68 W,"Jun 10th, 2002"
AMD,Athlon XP 2400+,Thoroughbred,1,2000 MHz,Socket A,130 nm,N/A,65 W,"Aug 21st, 2002"
AMD,Athlon XP 2400+,Thoroughbred,1,2000 MHz,Socket A,130 nm,N/A,68 W,"Aug 21st, 2002"
AMD,Athlon XP 2600+,Thoroughbred,1,2.133 GHz,Socket A,130 nm,N/A,68 W,"Oct 1st, 2002"
AMD,Athlon XP 2600+,Thoroughbred,1,2.083 GHz,Socket A,130 nm,N/A,68 W,"Aug 21st, 2002"
AMD,Athlon XP 2700+,Thoroughbred,1,2.167 GHz,Socket A,130 nm,N/A,68 W,"Oct 1st, 2002"
AMD,Athlon XP 2800+,Thoroughbred,1,2.25 GHz,Socket A,130 nm,N/A,74 W,"Oct 1st, 2002"
AMD,Athlon XP-M 2200+,Thoroughbred,1,1800 MHz,Socket A,130 nm,N/A,45 W,"Nov 11th, 2002"
AMD,Athlon 64 3000+,Clawhammer,1,2000 MHz,Socket 754,130 nm,N/A,89 W,"Dec 15th, 2003"
AMD,Athlon 64 3200+,Clawhammer,1,2000 MHz,Socket 754,130 nm,N/A,89 W,"Sep 23rd, 2003"
AMD,Athlon 64 FX-51,SledgeHammer,1,2.2 GHz,Socket 940,130 nm,N/A,89 W,"Sep 23rd, 2003"
AMD,Athlon XP 2000+,Thorton,1,1667 MHz,Socket A,130 nm,N/A,60 W,"Sep 1st, 2003"
AMD,Athlon XP 2000+,Thorton,1,1667 MHz,Socket A,130 nm,N/A,60 W,"Sep 1st, 2003"
AMD,Athlon XP 2200+,Thorton,1,1800 MHz,Socket A,130 nm,N/A,63 W,"Sep 1st, 2003"
AMD,Athlon XP 2200+,Thorton,1,1800 MHz,Socket A,130 nm,N/A,63 W,"Sep 1st, 2003"
AMD,Athlon XP 2400+,Thorton,1,2000 MHz,Socket A,130 nm,N/A,68 W,"Sep 1st, 2003"
AMD,Athlon XP 2400+,Thorton,1,2000 MHz,Socket A,130 nm,N/A,68 W,"Sep 1st, 2003"
AMD,Athlon XP 2500+,Barton,1,1833 MHz,Socket A,130 nm,N/A,68 W,"Feb 10th, 2003"
AMD,Athlon XP 2500+ DTR,Barton,1,1833 MHz,Socket A,130 nm,N/A,55 W,"Feb 10th, 2003"
AMD,Athlon XP 2600+,Barton,1,1917 MHz,Socket A,130 nm,N/A,68 W,"Sep 13th, 2003"
AMD,Athlon XP 2600+,Thorton,1,2.083 GHz,Socket A,130 nm,N/A,68 W,"Sep 1st, 2003"
AMD,Athlon XP 2600+,Thorton,1,2.133 GHz,Socket A,130 nm,N/A,68 W,"Sep 1st, 2003"
AMD,Athlon XP 2800+,Barton,1,2.083 GHz,Socket A,130 nm,N/A,68 W,"Feb 10th, 2003"
AMD,Athlon XP 3000+ (333FSB),Barton,1,2.167 GHz,Socket A,130 nm,N/A,68 W,"Feb 10th, 2003"
AMD,Athlon XP 3000+ (400FSB),Barton,1,2.1 GHz,Socket A,130 nm,N/A,68 W,"May 13th, 2003"
AMD,Athlon XP 3100+,Thorton,1,2.2 GHz,Socket A,130 nm,N/A,68 W,"Dec 1st, 2003"
AMD,Athlon XP 3200+ (333FSB),Barton,1,2.333 GHz,Socket A,130 nm,N/A,79 W,"May 13th, 2003"
AMD,Athlon XP 3200+ (400FSB),Barton,1,2.2 GHz,Socket A,130 nm,N/A,77 W,"May 13th, 2003"
AMD,Athlon XP-M 1800+ (25W),Barton,1,1400 MHz,Socket 563,130 nm,N/A,25 W,"Mar 12th, 2003"
AMD,Athlon XP-M 1800+ (25W),Barton,1,1400 MHz,Socket 563,130 nm,N/A,25 W,"Mar 12th, 2003"
AMD,Athlon XP-M 2000+ (25W),Barton,1,1533 MHz,Socket 563,130 nm,N/A,25 W,"Jun 17th, 2003"
AMD,Athlon XP-M 2000+ (35W),Barton,1,1533 MHz,Socket 563,130 nm,N/A,35 W,"Jun 17th, 2003"
AMD,Athlon XP-M 2200+,Barton,1,1667 MHz,Socket A,130 nm,N/A,35 W,"Mar 12th, 2003"
AMD,Athlon XP-M 2400+,Barton,1,1800 MHz,Socket A,130 nm,N/A,45 W,"Mar 12th, 2003"
AMD,Athlon XP-M 2400+ (35W),Barton,1,1800 MHz,Socket A,130 nm,N/A,35 W,"Mar 12th, 2003"
AMD,Athlon XP-M 2400+ (72W),Barton,1,1800 MHz,Socket A,130 nm,N/A,72 W,"Mar 12th, 2003"
AMD,Athlon XP-M 2500+,Barton,1,1862 MHz,Socket A,130 nm,N/A,45 W,"Mar 12th, 2003"
AMD,Athlon XP-M 2500+ (35W),Barton,1,1867 MHz,Socket A,130 nm,N/A,35 W,"Mar 12th, 2003"
AMD,Athlon XP-M 2500+ (72W),Barton,1,1867 MHz,Socket A,130 nm,N/A,72 W,"Mar 12th, 2003"
AMD,Athlon XP-M 2600+,Barton,1,2000 MHz,Socket A,130 nm,N/A,45 W,"Mar 12th, 2003"
AMD,Athlon XP-M 2600+ (72W),Barton,1,2000 MHz,Socket A,130 nm,N/A,72 W,"Mar 12th, 2003"
AMD,Athlon XP-M 3000+,Barton,1,2.2 GHz,Socket A,130 nm,N/A,72 W,"Mar 12th, 2003"
AMD,Mobile Athlon 64 2800+,Clawhammer,1,1800 MHz,Socket 754,130 nm,N/A,82 W,"Aug 1st, 2003"
AMD,Mobile Athlon 64 3000+,Clawhammer,1,1800 MHz,Socket 754,130 nm,N/A,82 W,"Aug 1st, 2003"
AMD,Mobile Athlon 64 3200+,Clawhammer,1,2000 MHz,Socket 754,130 nm,N/A,82 W,"Aug 1st, 2003"
AMD,Opteron 140,SledgeHammer,1,1400 MHz,Socket 940,130 nm,N/A,82 W,"Sep 9th, 2003"
AMD,Opteron 140,SledgeHammer,1,1400 MHz,Socket 940,130 nm,N/A,85 W,"Jun 30th, 2003"
AMD,Opteron 142,SledgeHammer,1,1600 MHz,Socket 940,130 nm,N/A,82 W,"Sep 9th, 2003"
AMD,Opteron 142,SledgeHammer,1,1600 MHz,Socket 940,130 nm,N/A,85 W,"Jun 30th, 2003"
AMD,Opteron 144,SledgeHammer,1,1800 MHz,Socket 940,130 nm,N/A,82 W,"Sep 9th, 2003"
AMD,Opteron 144,SledgeHammer,1,1800 MHz,Socket 940,130 nm,N/A,85 W,"Jun 30th, 2003"
AMD,Opteron 146,SledgeHammer,1,2000 MHz,Socket 940,130 nm,N/A,89 W,"Sep 9th, 2003"
AMD,Opteron 148,SledgeHammer,1,2.2 GHz,Socket 940,130 nm,N/A,89 W,"Nov 17th, 2003"
AMD,Opteron 240,SledgeHammer,1,1400 MHz,Socket 940,130 nm,N/A,85 W,"Apr 22nd, 2003"
AMD,Opteron 240,SledgeHammer,1,1400 MHz,Socket 940,130 nm,N/A,82 W,"Aug 5th, 2003"
AMD,Opteron 242,SledgeHammer,1,1600 MHz,Socket 940,130 nm,N/A,82 W,"Aug 5th, 2003"
AMD,Opteron 242,SledgeHammer,1,1600 MHz,Socket 940,130 nm,N/A,85 W,"Apr 22nd, 2003"
AMD,Opteron 244,SledgeHammer,1,1800 MHz,Socket 940,130 nm,N/A,85 W,"Apr 22nd, 2003"
AMD,Opteron 244,SledgeHammer,1,1800 MHz,Socket 940,130 nm,N/A,82 W,"Aug 5th, 2003"
AMD,Opteron 246,SledgeHammer,1,2000 MHz,Socket 940,130 nm,N/A,89 W,"Aug 5th, 2003"
AMD,Opteron 248,SledgeHammer,1,2.2 GHz,Socket 940,130 nm,N/A,89 W,"Nov 17th, 2003"
AMD,Opteron 840,SledgeHammer,1,1400 MHz,Socket 940,130 nm,N/A,85 W,"Jun 30th, 2003"
AMD,Opteron 840,SledgeHammer,1,1400 MHz,Socket 940,130 nm,N/A,82 W,"Sep 9th, 2003"
AMD,Opteron 842,SledgeHammer,1,1600 MHz,Socket 940,130 nm,N/A,85 W,"Jun 30th, 2003"
AMD,Opteron 842,SledgeHammer,1,1600 MHz,Socket 940,130 nm,N/A,82 W,"Sep 9th, 2003"
AMD,Opteron 844,SledgeHammer,1,1800 MHz,Socket 940,130 nm,N/A,85 W,"Jun 30th, 2003"
AMD,Opteron 844,SledgeHammer,1,1800 MHz,Socket 940,130 nm,N/A,82 W,"Sep 9th, 2003"
AMD,Opteron 846,SledgeHammer,1,2000 MHz,Socket 940,130 nm,N/A,89 W,"Sep 9th, 2003"
AMD,Opteron 848,SledgeHammer,1,2.2 GHz,Socket 940,130 nm,N/A,89 W,"Nov 17th, 2003"
AMD,Athlon 64 2700+,NewCastle,1,1600 MHz,Socket 754,130 nm,N/A,32 W,"Apr 27th, 2004"
AMD,Athlon 64 2800+,NewCastle,1,1800 MHz,Socket 754,130 nm,N/A,32 W,"Apr 27th, 2004"
AMD,Athlon 64 2800+,Clawhammer,1,1800 MHz,Socket 754,130 nm,N/A,89 W,"Apr 27th, 2004"
AMD,Athlon 64 2800+,NewCastle,1,1800 MHz,Socket 754,130 nm,N/A,89 W,"Apr 27th, 2004"
AMD,Athlon 64 3000+,NewCastle,1,2000 MHz,Socket 754,130 nm,N/A,89 W,"Apr 27th, 2004"
AMD,Athlon 64 3000+,Winchester,1,1800 MHz,Socket 939,90 nm,N/A,67 W,"Oct 14th, 2004"
AMD,Athlon 64 3000+,NewCastle,1,1800 MHz,Socket 754,130 nm,N/A,32 W,"Apr 27th, 2004"
AMD,Athlon 64 3000+,NewCastle,1,1800 MHz,Socket 939,130 nm,N/A,89 W,"Apr 27th, 2004"
AMD,Athlon 64 3200+,NewCastle,1,2000 MHz,Socket 939,130 nm,N/A,89 W,"Apr 27th, 2004"
AMD,Athlon 64 3200+,Winchester,1,2000 MHz,Socket 939,90 nm,N/A,67 W,"Oct 14th, 2004"
AMD,Athlon 64 3200+,NewCastle,1,2.2 GHz,Socket 754,130 nm,N/A,89 W,"Apr 27th, 2004"
AMD,Athlon 64 3300+,NewCastle,1,2.4 GHz,Socket 754,130 nm,N/A,89 W,"Apr 27th, 2004"
AMD,Athlon 64 3400+,NewCastle,1,2.4 GHz,Socket 754,130 nm,N/A,89 W,"Apr 27th, 2004"
AMD,Athlon 64 3400+,NewCastle,1,2.2 GHz,Socket 939,130 nm,N/A,89 W,"Apr 27th, 2004"
AMD,Athlon 64 3400+,Clawhammer,1,2.2 GHz,Socket 754,130 nm,N/A,89 W,"Jan 6th, 2004"
AMD,Athlon 64 3500+,Winchester,1,2.2 GHz,Socket 939,90 nm,N/A,67 W,"Oct 14th, 2004"
AMD,Athlon 64 3500+,Clawhammer,1,2.2 GHz,Socket 939,130 nm,N/A,89 W,"Jun 1st, 2004"
AMD,Athlon 64 3500+,NewCastle,1,2.2 GHz,Socket 939,130 nm,N/A,89 W,"Jun 1st, 2004"
AMD,Athlon 64 3600+,Clawhammer,1,2.4 GHz,Socket 754,130 nm,N/A,89 W,"Jun 1st, 2004"
AMD,Athlon 64 3700+,Clawhammer,1,2.4 GHz,Socket 754,130 nm,N/A,89 W,"Jun 1st, 2004"
AMD,Athlon 64 3700+,San Diego,1,2.2 GHz,Socket 939,90 nm,N/A,89 W,"May 4th, 2004"
AMD,Athlon 64 3800+,Clawhammer,1,2.4 GHz,Socket 939,130 nm,N/A,89 W,"Jun 1st, 2004"
AMD,Athlon 64 3800+,NewCastle,1,2.4 GHz,Socket 939,130 nm,N/A,89 W,"Jun 1st, 2004"
AMD,Athlon 64 4000+,Clawhammer,1,2.4 GHz,Socket 939,130 nm,N/A,89 W,"Oct 19th, 2004"
AMD,Athlon 64 4000+,San Diego,1,2.4 GHz,Socket 939,90 nm,N/A,89 W,"Oct 19th, 2004"
AMD,Athlon 64 FX-53,Clawhammer,1,2.4 GHz,Socket 939,130 nm,N/A,89 W,"Jun 1st, 2004"
AMD,Athlon 64 FX-53,SledgeHammer,1,2.4 GHz,Socket 940,130 nm,N/A,89 W,"Mar 18th, 2004"
AMD,Athlon 64 FX-55,San Diego,1,2.6 GHz,Socket 939,90 nm,N/A,104 W,"Oct 10th, 2004"
AMD,Athlon 64 FX-55,Clawhammer,1,2.6 GHz,Socket 939,130 nm,N/A,104 W,"Oct 10th, 2004"
AMD,Athlon XP 2600+ DTR,Barton,1,1917 MHz,Socket A,130 nm,N/A,55 W,"Nov 19th, 2004"
AMD,Athlon XP 2800+ DTR,Barton,1,2.083 GHz,Socket A,130 nm,N/A,55 W,"Dec 29th, 2004"
AMD,Athlon XP-M 2200+,Barton,1,1667 MHz,Socket 563,130 nm,N/A,27 W,"Jul 24th, 2004"
AMD,Athlon XP-M 2800+,Barton,1,2.133 GHz,Socket A,130 nm,N/A,55 W,"Jul 13th, 2004"
AMD,Athlon XP-M 2800+ (72W),Barton,1,2.133 GHz,Socket A,130 nm,N/A,72 W,"Jul 13th, 2004"
AMD,Mobile Athlon 64 2700+,Clawhammer,1,1600 MHz,Socket 754,130 nm,N/A,82 W,"Aug 1st, 2004"
AMD,Mobile Athlon 64 2800+,Odessa,1,1800 MHz,Socket 754,130 nm,N/A,35 W,"Aug 1st, 2004"
AMD,Mobile Athlon 64 2800+,Clawhammer,1,1800 MHz,Socket 754,130 nm,N/A,62 W,"Aug 1st, 2004"
AMD,Mobile Athlon 64 2800+,Odessa,1,1800 MHz,Socket 754,130 nm,N/A,82 W,"Aug 1st, 2004"
AMD,Mobile Athlon 64 3000+,Clawhammer,1,1800 MHz,Socket 754,130 nm,N/A,62 W,"Aug 1st, 2004"
AMD,Mobile Athlon 64 3000+,Odessa,1,2000 MHz,Socket 754,130 nm,N/A,35 W,"Aug 1st, 2004"
AMD,Mobile Athlon 64 3200+,Clawhammer,1,2000 MHz,Socket 754,130 nm,N/A,62 W,"Aug 1st, 2004"
AMD,Opteron 140,SledgeHammer,1,1400 MHz,Socket 940,130 nm,N/A,82 W,"May 18th, 2004"
AMD,Opteron 140 EE,SledgeHammer,1,1400 MHz,Socket 940,130 nm,N/A,30 W,"Feb 14th, 2004"
AMD,Opteron 142,SledgeHammer,1,1600 MHz,Socket 940,130 nm,N/A,82 W,"May 18th, 2004"
AMD,Opteron 144,SledgeHammer,1,1800 MHz,Socket 940,130 nm,N/A,82 W,"May 18th, 2004"
AMD,Opteron 146 HE,SledgeHammer,1,2000 MHz,Socket 940,130 nm,N/A,55 W,"Feb 14th, 2004"
AMD,Opteron 148,SledgeHammer,1,2.2 GHz,Socket 940,130 nm,N/A,89 W,"May 18th, 2004"
AMD,Opteron 148 HE,Venus,1,2.2 GHz,Socket 940,90 nm,N/A,55 W,"Dec 1st, 2004"
AMD,Opteron 150,SledgeHammer,1,2.4 GHz,Socket 940,130 nm,N/A,89 W,"May 18th, 2004"
AMD,Opteron 240,SledgeHammer,1,1400 MHz,Socket 940,130 nm,N/A,82 W,"May 18th, 2004"
AMD,Opteron 240 EE,SledgeHammer,1,1400 MHz,Socket 940,130 nm,N/A,30 W,"Feb 14th, 2004"
AMD,Opteron 242,SledgeHammer,1,1600 MHz,Socket 940,130 nm,N/A,82 W,"May 18th, 2004"
AMD,Opteron 242,Troy,1,1600 MHz,Socket 940,90 nm,N/A,85 W,"Dec 1st, 2004"
AMD,Opteron 244,SledgeHammer,1,1800 MHz,Socket 940,130 nm,N/A,82 W,"May 18th, 2004"
AMD,Opteron 244,Troy,1,1800 MHz,Socket 940,90 nm,N/A,85 W,"Dec 1st, 2004"
AMD,Opteron 246,Troy,1,2000 MHz,Socket 940,90 nm,N/A,85 W,"Dec 1st, 2004"
AMD,Opteron 246,Troy,1,2000 MHz,Socket 940,90 nm,N/A,85 W,"Dec 1st, 2004"
AMD,Opteron 246 HE,SledgeHammer,1,2000 MHz,Socket 940,130 nm,N/A,55 W,"Feb 14th, 2004"
AMD,Opteron 248,Troy,1,2.2 GHz,Socket 940,90 nm,N/A,85 W,"Dec 1st, 2004"
AMD,Opteron 248,Troy,1,2.2 GHz,Socket 940,90 nm,N/A,85 W,"Dec 1st, 2004"
AMD,Opteron 248,SledgeHammer,1,2.2 GHz,Socket 940,130 nm,N/A,89 W,"May 18th, 2004"
AMD,Opteron 250,Troy,1,2.4 GHz,Socket 940,90 nm,N/A,85 W,"Dec 1st, 2004"
AMD,Opteron 250,SledgeHammer,1,2.4 GHz,Socket 940,130 nm,N/A,89 W,"May 18th, 2004"
AMD,Opteron 840,SledgeHammer,1,1400 MHz,Socket 940,130 nm,N/A,82 W,"May 18th, 2004"
AMD,Opteron 840 EE,SledgeHammer,1,1400 MHz,Socket 940,130 nm,N/A,30 W,"May 18th, 2004"
AMD,Opteron 842,Athens,1,1600 MHz,Socket 940,90 nm,N/A,85 W,"Dec 1st, 2004"
AMD,Opteron 842,SledgeHammer,1,1600 MHz,Socket 940,130 nm,N/A,82 W,"May 18th, 2004"
AMD,Opteron 844,SledgeHammer,1,1800 MHz,Socket 940,130 nm,N/A,82 W,"May 18th, 2004"
AMD,Opteron 844,Athens,1,1800 MHz,Socket 940,90 nm,N/A,85 W,"Dec 1st, 2004"
AMD,Opteron 846,Athens,1,2000 MHz,Socket 940,90 nm,N/A,85 W,"Dec 1st, 2004"
AMD,Opteron 846,Athens,1,2000 MHz,Socket 940,90 nm,N/A,85 W,"Dec 1st, 2004"
AMD,Opteron 846 HE,SledgeHammer,1,2000 MHz,Socket 940,130 nm,N/A,55 W,"May 18th, 2004"
AMD,Opteron 848,Athens,1,2.2 GHz,Socket 940,90 nm,N/A,85 W,"Dec 1st, 2004"
AMD,Opteron 848,SledgeHammer,1,2.2 GHz,Socket 940,130 nm,N/A,89 W,"May 18th, 2004"
AMD,Opteron 850,Athens,1,2.4 GHz,Socket 940,90 nm,N/A,85 W,"Dec 1st, 2004"
AMD,Opteron 850,SledgeHammer,1,2.4 GHz,Socket 940,130 nm,N/A,89 W,"May 18th, 2004"
AMD,Sempron 2200+,Thorton,1,1500 MHz,Socket A,130 nm,N/A,62 W,"Aug 1st, 2004"
AMD,Sempron 2200+,Thoroughbred,1,1500 MHz,Socket A,130 nm,N/A,62 W,"Jul 28th, 2004"
AMD,Sempron 2300+,Thoroughbred,1,1583 MHz,Socket A,130 nm,N/A,62 W,"Jul 28th, 2004"
AMD,Sempron 2400+,Thorton,1,1667 MHz,Socket A,130 nm,N/A,62 W,"Aug 1st, 2004"
AMD,Sempron 2400+,Thoroughbred,1,1667 MHz,Socket A,130 nm,N/A,62 W,"Jul 28th, 2004"
AMD,Sempron 2500+,Thoroughbred,1,1750 MHz,Socket A,130 nm,N/A,62 W,"Jul 28th, 2004"
AMD,Sempron 2600+,Sonora,1,1600 MHz,Socket 754,90 nm,N/A,25 W,"Jul 28th, 2004"
AMD,Sempron 2600+,Georgetown,1,1600 MHz,Socket 754,90 nm,N/A,62 W,"Jul 28th, 2004"
AMD,Sempron 2600+,Palermo,1,1600 MHz,Socket 754,90 nm,N/A,62 W,"Aug 1st, 2004"
AMD,Sempron 2600+,Thoroughbred,1,1833 MHz,Socket A,130 nm,N/A,62 W,"Jul 28th, 2004"
AMD,Sempron 2800+,Sonora,1,1600 MHz,Socket 754,90 nm,N/A,25 W,"Jul 28th, 2004"
AMD,Sempron 2800+,Palermo,1,1600 MHz,Socket 754,90 nm,N/A,62 W,"Aug 1st, 2004"
AMD,Sempron 2800+,Georgetown,1,1600 MHz,Socket 754,90 nm,N/A,62 W,"Jul 28th, 2004"
AMD,Sempron 2800+,Thorton,1,1992 MHz,Socket A,130 nm,N/A,62 W,"Aug 1st, 2004"
AMD,Sempron 2800+,Thoroughbred,1,1992 MHz,Socket A,130 nm,N/A,62 W,"Jul 28th, 2004"
AMD,Sempron 3000+,Barton,1,2000 MHz,Socket A,130 nm,N/A,62 W,"Sep 17th, 2004"
AMD,Sempron 3000+,Georgetown,1,1800 MHz,Socket 754,90 nm,N/A,62 W,"Jul 28th, 2004"
AMD,Sempron 3000+,Sonora,1,1800 MHz,Socket 754,90 nm,N/A,25 W,"Nov 23rd, 2004"
AMD,Sempron 3100+,Paris,1,1800 MHz,Socket 754,130 nm,N/A,62 W,"Jul 28th, 2004"
AMD,Athlon 64 1500+,Venice,1,1000 MHz,Socket 754,90 nm,N/A,9 W,"Nov 7th, 2005"
AMD,Athlon 64 3000+,Newark,1,1800 MHz,Socket 754,130 nm,N/A,62 W,"Apr 14th, 2005"
AMD,Athlon 64 3000+,Venice,1,1800 MHz,Socket 939,90 nm,N/A,67 W,"Apr 4th, 2005"
AMD,Athlon 64 3200+,Manchester,1,2000 MHz,Socket 939,90 nm,N/A,67 W,"May 31st, 2005"
AMD,Athlon 64 3200+,Newark,1,2000 MHz,Socket 754,130 nm,N/A,83 W,"Apr 14th, 2005"
AMD,Athlon 64 3200+,Newark,1,2000 MHz,Socket 754,130 nm,N/A,62 W,"Apr 14th, 2005"
AMD,Athlon 64 3200+,Venice,1,2000 MHz,Socket 939,90 nm,N/A,67 W,"Apr 4th, 2005"
AMD,Athlon 64 3400+,Newark,1,2.2 GHz,Socket 754,130 nm,N/A,83 W,"Apr 14th, 2005"
